FID,dissolve,scalerank,featurecla,name,name_alt,rivernum,note
811,569River,7,River,Minnesota, ,569, 
79,1061River,9,River,Mio, ,1061, 
1107,765River,8,River,Mira, ,765, 
21,1013River,9,River,Miramichi, ,1013, 
38,1028River,9,River,Miranda, ,1028, 
153,1123River,9,River,Missinaibi, ,1123, 
590,3River,1,River,Mississippi, ,3, 
1261,8River,1,River,Missouri, ,8, 
473,314River,6,River,Mitchell, ,314, 
821,577River,7,River,Mlzes, ,577, 
1439,2016River,10,River,Moawhango, ,2016, 
1044,711River,8,River,Moctezuma, ,711, 
55,1042River,9,River,Mogalakwena, ,1042, 
1177,825River,8,River,Mogami, ,825, 
1409,2017River,6,River,Mohaka, ,2017, 
1139,793River,8,River,Mohawk, ,793, 
1413,2018River,9,River,Mokau, ,2018, 
1216,860River,8,River,Molopo, ,860, 
1198,844River,8,River,Moma, ,844, 
1296,930River,8,River,Mongala, ,930, 
1040,709River,8,River,Monongahela, ,709, 
852,604River,7,River,Moose, ,604, 
1052,719River,8,River,Morava, ,719, 
773,534River,7,River,Mosel, ,534,Changed in 2.0
1048,715River,8,River,Motagua, ,715, 
974,678River,8,River,Motala strm, ,678, 
1424,2019River,9,River,Motueka, ,2019, 
1425,2020River,10,River,Motueka Left Branch, ,2020, 
1426,2021River,10,River,Motueka Right Branch, ,2021, 
273,175River,5,River,Mouhoun  (Black Volta), ,175, 
62,1049River,9,River,Moulouya, ,1049, 
1368,991River,9,River,Msta, ,991, 
1122,779River,8,River,Mukhavyets, ,779,Version 1.2 edit in N. America and Europe
147,1119River,9,River,Muling, ,1119, 
1070,734River,8,River,Mun, ,734, 
1080,742River,8,River,Muonio, ,742, 
312,208River,6,River,Mur, ,208, 
1371,993River,9,River,Murat, ,993, 
1228,871River,8,River,Mures, ,871, 
1350,97River,4,River,Murray, ,97, 
1290,925River,8,River,Muskingum, ,925, 
1242,884River,8,River,Mytinge, ,884, 
106,1084River,9,River,Mytitha, ,1084, 
349,235River,6,River,N. Fork Kuskokwim, ,235, 
783,543River,7,River,Nadym, ,543, 
406,267River,6,River,Nakanb? (White Volta), ,267, 
1111,769River,8,River,Nakdong, ,769, 
1106,764River,8,River,Namekagon, ,764, 
796,555River,7,River,Namhan, ,555, 
201,128River,4,River,Nanpan, ,128, 
1194,840River,8,River,Nanweng, ,840, 
659,434River,7,River,Napo, ,434, 
466,308River,6,River,Narmada, ,308, 
629,418River,7,River,Narva, ,418, 
265,171River,5,River,Naryn, ,171, 
765,527River,7,River,Natashquan, ,527, 
829,585River,7,River,Nechako, ,585, 
216,141River,4,River,Nederrijn, ,141, 
1135,78River,3,River,Negro, ,78, 
421,275River,4,River,Nelson, ,275, 
861,612River,7,River,Neman (Nemunas), ,612, 
144,1116River,9,River,Nemor, ,1116, 
1308,940River,8,River,Nen, ,940, 
699,470River,7,River,Neris (Vilija), ,470, 
1002,690River,8,River,Ness, ,690, 
200,127River,4,River,Neuqu?n, ,127, 
258,168River,5,River,Neva, ,168, 
1098,758River,8,River,New, ,758, 
1414,2022River,9,River,Ngaruroro, ,2022, 
642,424River,7,River,ngermanlven, ,424, 
